function_words,the,to,in,of,and,a,on,that,for,as,at,with,from,by,its,more,or,which,they,an,but,it,this,down,up,about,after,than,could,will,out,would,like,above,may,no,such,while,who,into,since,most,other,because,some,below,much,when,between,whose
the,0.122,0.097,0.047,0.162,0.081,0.049,0.013,0.038,0.021,0.038,0.005,0.012,0.028,0.014,0.022,0.012,0.01,0.01,0.032,0.005,0.029,0.013,0.0,0.0,0.011,0.0,0.0,0.002,0.0,0.034,0.0,0.029,0.0,0.0,0.013,0.025,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.014,0.0,0.0,0.005,0.0,0.0,0.0
to,0.194,0.062,0.099,0.019,0.082,0.102,0.051,0.026,0.019,0.048,0.0,0.0,0.0,0.0,0.044,0.066,0.0,0.028,0.011,0.028,0.007,0.0,0.019,0.0,0.025,0.004,0.0,0.02,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0
in,0.154,0.099,0.016,0.033,0.097,0.083,0.091,0.014,0.0,0.0,0.022,0.039,0.0,0.0,0.009,0.087,0.031,0.0,0.0,0.078,0.065,0.007,0.0,0.0,0.016,0.0,0.0,0.029,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0
of,0.177,0.02,0.101,0.038,0.08,0.035,0.003,0.0,0.014,0.126,0.025,0.031,0.0,0.0,0.0,0.047,0.033,0.036,0.019,0.0,0.033,0.025,0.0,0.0,0.037,0.0,0.0,0.033,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.003,0.025,0.0,0.0,0.019,0.0,0.0,0.0
and,0.299,0.116,0.029,0.099,0.007,0.019,0.0,0.012,0.004,0.173,0.0,0.008,0.0,0.005,0.016,0.0,0.0,0.03,0.009,0.0,0.009,0.056,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.194,0.052,0.166,0.067,0.053,0.162,0.069,0.0,0.045,0.0,0.022,0.058,0.0,0.0,0.0,0.022,0.016,0.007,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.016,0.004,0.0,0.0,0.0,0.0,0.0,0.0
on,0.374,0.141,0.0,0.051,0.127,0.036,0.062,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.006,0.046,0.02,0.0,0.056,0.0,0.0,0.015,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.185,0.054,0.0,0.0,0.013,0.241,0.017,0.013,0.023,0.0,0.0,0.0,0.0,0.041,0.0,0.073,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.0
for,0.033,0.0,0.059,0.059,0.0,0.423,0.106,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.011,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.343,0.108,0.063,0.005,0.067,0.116,0.007,0.0,0.043,0.107,0.0,0.019,0.017,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.071,0.0,0.0,0.0
