function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.086,0.121,0.23,0.048,0.028,0.052,0.049,0.026,0.091,0.028,0.016,0.008,0.0,0.022,0.0,0.0,0.014,0.0,0.004,0.014,0.0,0.004,0.019,0.0,0.002,0.002,0.02,0.021,0.0,0.0,0.0,0.036,0.014,0.0,0.0,0.0,0.0,0.019,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0
to,0.214,0.09,0.075,0.132,0.066,0.092,0.051,0.025,0.025,0.02,0.0,0.0,0.005,0.006,0.0,0.012,0.026,0.0,0.014,0.0,0.0,0.034,0.014,0.0,0.005,0.014,0.03,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0
of,0.336,0.064,0.038,0.103,0.055,0.062,0.068,0.058,0.015,0.003,0.004,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.006,0.0,0.02,0.005,0.0,0.029,0.009,0.02,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.015,0.0,0.002,0.0,0.0
a,0.152,0.064,0.196,0.027,0.007,0.033,0.153,0.038,0.012,0.039,0.0,0.0,0.039,0.029,0.0,0.009,0.0,0.0,0.038,0.0,0.0,0.039,0.007,0.0,0.029,0.0,0.0,0.004,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.005,0.0,0.0
in,0.209,0.111,0.026,0.051,0.081,0.155,0.0,0.047,0.0,0.02,0.062,0.008,0.0,0.0,0.0,0.042,0.011,0.0,0.027,0.027,0.0,0.0,0.0,0.0,0.026,0.035,0.0,0.0,0.015,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.221,0.167,0.058,0.006,0.092,0.037,0.004,0.056,0.008,0.0,0.02,0.02,0.006,0.0,0.0,0.057,0.0,0.0,0.051,0.015,0.0,0.0,0.0,0.0,0.02,0.011,0.005,0.006,0.0,0.0,0.0,0.02,0.0,0.0,0.095,0.0,0.011,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.113,0.117,0.113,0.116,0.007,0.246,0.066,0.142,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.037,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.313,0.078,0.0,0.112,0.047,0.166,0.035,0.02,0.063,0.02,0.0,0.02,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.173,0.286,0.022,0.033,0.0,0.047,0.097,0.0,0.0,0.019,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0
as,0.164,0.045,0.056,0.2,0.232,0.098,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0
with,0.194,0.061,0.0,0.024,0.076,0.198,0.0,0.0,0.0,0.0,0.0,0.101,0.032,0.0,0.0,0.043,0.0,0.0,0.24,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.378,0.0,0.025,0.0,0.0,0.293,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.426,0.022,0.199,0.159,0.025,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0
from,0.075,0.192,0.219,0.271,0.07,0.0,0.012,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.012,0.0,0.039,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.0,0.0,0.11,0.0,0.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
more,0.0,0.016,0.0,0.0,0.105,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
