function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.098,0.105,0.197,0.021,0.113,0.109,0.0,0.054,0.0,0.003,0.053,0.0,0.005,0.021,0.038,0.022,0.004,0.122,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0
to,0.199,0.064,0.116,0.103,0.057,0.082,0.043,0.0,0.0,0.026,0.075,0.0,0.0,0.043,0.029,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.007,0.0,0.0
of,0.298,0.039,0.042,0.008,0.144,0.056,0.0,0.015,0.01,0.054,0.009,0.0,0.032,0.058,0.074,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.016,0.0,0.01
a,0.141,0.181,0.138,0.078,0.032,0.05,0.0,0.0,0.085,0.0,0.009,0.0,0.019,0.035,0.0,0.0,0.024,0.004,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.011
in,0.176,0.068,0.096,0.231,0.024,0.18,0.0,0.0,0.041,0.0,0.005,0.0,0.003,0.017,0.059,0.0,0.014,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.007,0.0,0.0,0.029,0.0,0.0,0.022,0.006
and,0.13,0.069,0.178,0.086,0.006,0.093,0.0,0.0,0.0,0.015,0.069,0.0,0.0,0.034,0.0,0.007,0.029,0.011,0.0,0.034,0.03,0.0,0.064,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.003,0.061
on,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.384,0.298,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.047,0.0,0.02,0.221,0.0,0.103,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.161,0.114,0.0,0.221,0.087,0.0,0.0,0.0,0.174,0.0,0.0,0.021,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098
