function_words,the,to,in,of,and,a,on,that,for,as,at,with,from,by,its,more,or,which,they,an,but,it,this,down,up,about,after,than,could,will,out,would,like,above,may,no,such,while,who,into,since,most,other,because,some,below,much,when,between,whose
the,0.113,0.086,0.068,0.263,0.057,0.06,0.027,0.013,0.085,0.003,0.008,0.021,0.006,0.009,0.033,0.002,0.0,0.011,0.0,0.0,0.006,0.006,0.009,0.019,0.0,0.005,0.0,0.0,0.0,0.008,0.0,0.042,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.021,0.0
to,0.335,0.025,0.046,0.11,0.046,0.121,0.061,0.037,0.052,0.004,0.004,0.038,0.005,0.0,0.035,0.029,0.0,0.0,0.0,0.0,0.005,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.49,0.091,0.004,0.155,0.026,0.102,0.003,0.005,0.024,0.004,0.0,0.023,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.004,0.013,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.333,0.041,0.083,0.024,0.063,0.094,0.006,0.042,0.042,0.006,0.013,0.03,0.0,0.018,0.081,0.0,0.02,0.009,0.0,0.0,0.015,0.006,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.011,0.015,0.0,0.0,0.0,0.017,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0
and,0.214,0.122,0.075,0.006,0.125,0.1,0.009,0.0,0.015,0.0,0.087,0.005,0.036,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.024,0.1,0.032,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.156,0.102,0.096,0.191,0.044,0.071,0.032,0.036,0.045,0.0,0.0,0.059,0.009,0.021,0.016,0.047,0.016,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.576,0.0,0.01,0.077,0.0,0.0,0.0,0.018,0.018,0.0,0.0,0.077,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.334,0.016,0.132,0.021,0.0,0.118,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.021,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.13,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.311,0.09,0.16,0.047,0.006,0.199,0.08,0.0,0.024,0.0,0.0,0.027,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.33,0.062,0.029,0.165,0.053,0.249,0.0,0.0,0.013,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.03,0.133,0.0,0.0,0.291,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
