function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.152,0.048,0.15,0.028,0.11,0.093,0.033,0.023,0.033,0.0,0.0,0.011,0.009,0.036,0.004,0.0,0.001,0.01,0.031,0.068,0.011,0.0,0.0,0.013,0.01,0.008,0.0,0.014,0.01,0.01,0.0,0.006,0.004,0.0,0.0,0.009,0.0,0.01,0.02,0.012,0.01,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.006,0.0
to,0.283,0.0,0.028,0.103,0.091,0.009,0.028,0.0,0.05,0.0,0.0,0.009,0.018,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.367,0.017,0.055,0.092,0.045,0.036,0.029,0.053,0.0,0.0,0.022,0.0,0.003,0.0,0.002,0.009,0.0,0.005,0.066,0.076,0.007,0.0,0.0,0.0,0.049,0.005,0.0,0.016,0.0,0.007,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0
a,0.142,0.083,0.136,0.117,0.096,0.021,0.014,0.1,0.0,0.0,0.0,0.033,0.0,0.051,0.0,0.0,0.0,0.049,0.0,0.039,0.0,0.0,0.0,0.018,0.0,0.044,0.0,0.0,0.0,0.01,0.044,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.526,0.01,0.046,0.017,0.027,0.071,0.0,0.048,0.004,0.031,0.0,0.02,0.004,0.003,0.041,0.0,0.007,0.0,0.0,0.023,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.017,0.023,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0
and,0.167,0.023,0.076,0.175,0.051,0.033,0.0,0.008,0.0,0.025,0.0,0.025,0.05,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.025,0.044,0.147,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.435,0.008,0.068,0.203,0.089,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.011,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.207,0.101,0.044,0.124,0.024,0.058,0.033,0.01,0.025,0.0,0.0,0.0,0.039,0.057,0.0,0.0,0.025,0.0,0.078,0.0,0.0,0.0,0.058,0.0,0.058,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.421,0.0,0.0,0.0,0.017,0.04,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.043,0.169,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.184,0.184,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
