function_words,the,to,and,of,a,in,on,for,that,with,as,by,from,at,this,who,its,it,will,more,an,would,or,after,down,before,but,than,which,some,about,next,up,so,all,could,including,against,during,our,many,over,out,off,other,per,alongside,any,both,while
the,0.088,0.083,0.178,0.124,0.042,0.074,0.016,0.061,0.025,0.008,0.013,0.004,0.0,0.002,0.0,0.016,0.0,0.015,0.014,0.01,0.014,0.0,0.003,0.018,0.0,0.0,0.033,0.008,0.037,0.014,0.03,0.0,0.0,0.0,0.0,0.0,0.014,0.014,0.0,0.0,0.004,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.033
to,0.284,0.089,0.058,0.052,0.126,0.019,0.038,0.053,0.026,0.02,0.006,0.015,0.0,0.0,0.0,0.017,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.02,0.004,0.033,0.0,0.015,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.004,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0
and,0.155,0.03,0.034,0.012,0.056,0.047,0.017,0.078,0.088,0.01,0.01,0.014,0.056,0.022,0.0,0.035,0.0,0.08,0.0,0.0,0.032,0.041,0.01,0.0,0.0,0.0,0.018,0.0,0.006,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.014,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.006
of,0.345,0.087,0.059,0.031,0.08,0.08,0.0,0.053,0.045,0.017,0.0,0.008,0.006,0.011,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.019
a,0.245,0.194,0.028,0.148,0.009,0.013,0.041,0.045,0.021,0.005,0.011,0.021,0.004,0.08,0.0,0.004,0.0,0.027,0.0,0.0,0.027,0.0,0.027,0.0,0.0,0.0,0.007,0.0,0.015,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.004
in,0.17,0.084,0.038,0.055,0.173,0.0,0.011,0.047,0.026,0.063,0.015,0.008,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.084,0.0,0.026,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.257,0.109,0.04,0.0,0.133,0.0,0.026,0.011,0.063,0.104,0.0,0.0,0.035,0.011,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.015,0.0,0.0,0.0,0.0,0.0
for,0.268,0.11,0.041,0.042,0.219,0.017,0.055,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.017,0.0,0.017,0.073,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0
that,0.212,0.049,0.173,0.065,0.021,0.027,0.0,0.0,0.012,0.037,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.133,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0
with,0.214,0.0,0.124,0.08,0.189,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.08,0.0,0.0,0.0
