function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.097,0.131,0.168,0.095,0.088,0.099,0.013,0.059,0.004,0.01,0.0,0.012,0.032,0.005,0.0,0.0,0.015,0.0,0.009,0.004,0.0,0.029,0.007,0.0,0.007,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.017,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.035,0.022,0.0,0.0,0.005,0.0
to,0.147,0.125,0.078,0.129,0.067,0.039,0.004,0.058,0.055,0.022,0.0,0.017,0.012,0.0,0.0,0.0,0.029,0.015,0.0,0.009,0.0,0.013,0.012,0.0,0.0,0.003,0.029,0.0,0.0,0.002,0.0,0.007,0.022,0.005,0.0,0.0,0.0,0.0,0.0,0.022,0.041,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.031
of,0.226,0.092,0.013,0.105,0.055,0.111,0.023,0.023,0.04,0.027,0.0,0.027,0.013,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.03,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.013,0.017,0.0,0.005,0.0,0.0
a,0.093,0.181,0.05,0.08,0.032,0.023,0.067,0.119,0.069,0.0,0.027,0.063,0.013,0.032,0.0,0.006,0.022,0.0,0.0,0.0,0.0,0.009,0.0,0.047,0.0,0.0,0.03,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
in,0.331,0.123,0.03,0.099,0.055,0.054,0.007,0.0,0.01,0.0,0.009,0.017,0.0,0.03,0.0,0.007,0.0,0.013,0.013,0.036,0.0,0.023,0.0,0.0,0.01,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0
and,0.276,0.223,0.139,0.034,0.033,0.008,0.0,0.034,0.036,0.014,0.011,0.0,0.0,0.0,0.0,0.0,0.019,0.019,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.008,0.045,0.0,0.0,0.0,0.0
on,0.081,0.118,0.0,0.33,0.065,0.015,0.0,0.02,0.0,0.062,0.0,0.062,0.077,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0
for,0.176,0.22,0.028,0.306,0.131,0.012,0.0,0.034,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016
that,0.192,0.04,0.017,0.053,0.026,0.042,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.07,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.0,0.094,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
as,0.03,0.265,0.166,0.163,0.0,0.052,0.052,0.0,0.0,0.0,0.0,0.052,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0
