function_words,the,to,and,of,a,in,on,for,that,with,as,by,from,at,this,who,its,it,will,more,an,would,or,after,down,before,but,than,which,some,about,next,up,so,all,could,including,against,during,our,many,over,out,off,other,per,alongside,any,both,while
the,0.199,0.093,0.155,0.068,0.049,0.028,0.054,0.026,0.038,0.01,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.026,0.023,0.017,0.0,0.034,0.035,0.0,0.01,0.005,0.028,0.0,0.0,0.01,0.004,0.0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,0.23,0.159,0.064,0.041,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.017,0.0,0.0,0.073,0.023,0.012,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.195,0.029,0.095,0.0,0.0,0.043,0.154,0.098,0.04,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.03,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.49,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.271,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.133,0.063,0.0,0.015,0.047,0.192,0.223,0.113,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.027,0.0,0.063,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.342,0.0,0.0,0.031,0.061,0.015,0.077,0.007,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.013,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.295,0.013,0.0,0.0,0.192,0.121,0.085,0.042,0.056,0.058,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.577,0.104,0.0,0.024,0.0,0.032,0.0,0.0,0.018,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.043,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.028,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.126,0.179,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.032,0.0,0.0,0.0,0.181,0.0,0.0,0.043,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.102,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.26,0.0,0.0,0.088,0.104,0.117,0.058,0.037,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.088,0.0,0.217,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.186,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
