function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.179,0.11,0.141,0.02,0.072,0.05,0.024,0.023,0.057,0.033,0.009,0.013,0.018,0.004,0.038,0.04,0.003,0.048,0.009,0.0,0.008,0.008,0.018,0.0,0.007,0.006,0.004,0.0,0.0,0.003,0.0,0.012,0.009,0.0,0.0,0.009,0.0,0.0,0.001,0.0,0.0,0.012,0.008,0.0,0.0,0.0,0.002,0.0,0.0,0.0
to,0.219,0.144,0.077,0.098,0.047,0.059,0.025,0.003,0.014,0.008,0.0,0.0,0.028,0.003,0.104,0.003,0.004,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.019,0.019,0.0,0.0,0.019,0.0,0.0,0.027,0.0,0.0,0.045,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.277,0.05,0.014,0.12,0.024,0.092,0.0,0.067,0.024,0.0,0.004,0.0,0.097,0.0,0.061,0.05,0.024,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.165,0.032,0.068,0.01,0.102,0.049,0.05,0.058,0.032,0.0,0.0,0.0,0.0,0.01,0.0,0.014,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.051,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.043,0.083,0.0,0.0,0.0,0.058,0.0,0.0,0.0
in,0.471,0.074,0.03,0.007,0.063,0.049,0.015,0.017,0.037,0.0,0.061,0.0,0.0,0.037,0.0,0.007,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.005,0.012,0.0,0.0,0.0,0.0,0.0,0.0
and,0.345,0.094,0.097,0.062,0.015,0.008,0.0,0.081,0.098,0.0,0.047,0.0,0.02,0.0,0.0,0.015,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.512,0.0,0.018,0.0,0.075,0.157,0.008,0.0,0.106,0.0,0.0,0.024,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.032,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.269,0.034,0.018,0.0,0.0,0.112,0.014,0.01,0.067,0.057,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.032,0.0,0.075,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043
that,0.188,0.015,0.069,0.047,0.079,0.027,0.02,0.026,0.011,0.008,0.0,0.0,0.0,0.026,0.0,0.047,0.063,0.035,0.026,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.194,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.616,0.0,0.0,0.167,0.0,0.04,0.053,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.269,0.0,0.214,0.218,0.0,0.052,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218
by,0.562,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.249,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.231,0.019,0.014,0.198,0.059,0.078,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.139,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0
from,0.446,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0
