function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.13,0.032,0.108,0.024,0.094,0.149,0.04,0.059,0.0,0.0,0.032,0.0,0.0,0.017,0.023,0.0,0.0,0.045,0.0,0.0,0.014,0.04,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.019
to,0.039,0.129,0.009,0.208,0.038,0.108,0.092,0.031,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.05,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.006,0.0,0.016,0.0,0.0,0.0,0.092,0.0,0.0,0.043,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.368,0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0
a,0.065,0.032,0.018,0.019,0.222,0.066,0.016,0.075,0.0,0.0,0.123,0.0,0.059,0.102,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.051,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.009,0.0,0.0,0.0
in,0.429,0.07,0.0,0.081,0.059,0.048,0.048,0.0,0.0,0.0,0.052,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.029,0.068,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.264,0.27,0.012,0.012,0.021,0.005,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.032,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.01,0.0,0.043,0.0,0.051,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076
on,0.098,0.0,0.0,0.093,0.136,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.015,0.012,0.0,0.13,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.174,0.0,0.0,0.0,0.027,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.015,0.146,0.053,0.122,0.013,0.03,0.0,0.011,0.0,0.0,0.126,0.0,0.053,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.053,0.084,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0
that,0.431,0.043,0.0,0.0,0.0,0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.047,0.184,0.134,0.19,0.008,0.233,0.0,0.0,0.0,0.052,0.0,0.0,0.026,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
at,0.778,0.0,0.0,0.0,0.158,0.0,0.04,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
from,0.313,0.128,0.0,0.144,0.126,0.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its,0.0,0.435,0.0,0.183,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it,0.0,0.0,0.025,0.254,0.0,0.0,0.0,0.141,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.19,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
