function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.13,0.141,0.06,0.04,0.087,0.026,0.07,0.0,0.004,0.0,0.014,0.011,0.022,0.0,0.019,0.008,0.013,0.0,0.0,0.0,0.0,0.034,0.0,0.157,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.008,0.0,0.071,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.005,0.006,0.005,0.0,0.0
to,0.143,0.063,0.016,0.171,0.054,0.059,0.054,0.051,0.0,0.0,0.157,0.039,0.0,0.038,0.0,0.07,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.23,0.086,0.037,0.177,0.04,0.156,0.0,0.0,0.02,0.016,0.021,0.0,0.0,0.0,0.111,0.007,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.032,0.059,0.077,0.082,0.158,0.058,0.0,0.015,0.082,0.0,0.097,0.043,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0
in,0.25,0.071,0.07,0.075,0.059,0.095,0.0,0.02,0.0,0.0,0.032,0.022,0.045,0.0,0.01,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.032,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.107,0.121,0.087,0.034,0.075,0.074,0.007,0.005,0.005,0.064,0.0,0.035,0.0,0.013,0.0,0.072,0.004,0.0,0.0,0.0,0.003,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.013,0.0,0.145,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.041,0.0,0.0,0.0,0.0
on,0.484,0.0,0.018,0.207,0.0,0.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.0,0.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.098,0.201,0.03,0.047,0.02,0.062,0.0,0.0,0.042,0.0,0.01,0.018,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.0,0.269,0.287,0.0,0.269,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
