function_words,the,to,in,of,and,a,on,that,for,as,at,with,from,by,its,more,or,which,they,an,but,it,this,down,up,about,after,than,could,will,out,would,like,above,may,no,such,while,who,into,since,most,other,because,some,below,much,when,between,whose
the,0.066,0.044,0.108,0.188,0.102,0.021,0.034,0.11,0.003,0.0,0.022,0.012,0.003,0.009,0.025,0.005,0.0,0.02,0.0,0.017,0.0,0.046,0.056,0.003,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.013,0.004,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.009,0.0,0.013,0.0,0.037,0.0,0.0
to,0.271,0.009,0.162,0.075,0.062,0.041,0.021,0.041,0.0,0.06,0.012,0.0,0.058,0.004,0.029,0.004,0.0,0.016,0.0,0.021,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.029,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.029,0.0
in,0.391,0.007,0.009,0.086,0.062,0.079,0.0,0.07,0.01,0.022,0.042,0.025,0.0,0.032,0.003,0.021,0.0,0.0,0.021,0.016,0.004,0.032,0.005,0.0,0.0,0.005,0.0,0.004,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.209,0.085,0.055,0.018,0.122,0.087,0.032,0.04,0.018,0.0,0.0,0.008,0.0,0.018,0.062,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.032,0.0,0.0,0.0,0.0,0.0,0.0
and,0.18,0.017,0.029,0.054,0.061,0.0,0.023,0.046,0.017,0.0,0.054,0.0,0.03,0.0,0.0,0.071,0.017,0.059,0.0,0.04,0.0,0.125,0.0,0.023,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.076,0.132,0.018,0.192,0.111,0.014,0.008,0.043,0.024,0.0,0.0,0.0,0.0,0.014,0.032,0.058,0.0,0.0,0.0,0.0,0.0,0.058,0.018,0.0,0.0,0.0,0.077,0.018,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.256,0.107,0.02,0.078,0.0,0.0,0.01,0.128,0.0,0.017,0.041,0.055,0.007,0.0,0.193,0.041,0.0,0.007,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.017,0.0,0.0
that,0.073,0.125,0.067,0.016,0.016,0.079,0.0,0.0,0.028,0.065,0.067,0.038,0.009,0.012,0.067,0.021,0.0,0.012,0.012,0.0,0.005,0.088,0.059,0.0,0.009,0.0,0.0,0.016,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0
for,0.287,0.189,0.071,0.019,0.071,0.0,0.014,0.019,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.034,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.109,0.08,0.137,0.0,0.026,0.116,0.0,0.006,0.019,0.0,0.0,0.0,0.0,0.142,0.0,0.061,0.0,0.0,0.082,0.034,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
