function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.206,0.023,0.162,0.024,0.061,0.073,0.033,0.048,0.049,0.01,0.0,0.032,0.002,0.024,0.008,0.022,0.018,0.014,0.002,0.01,0.012,0.015,0.018,0.006,0.0,0.0,0.021,0.0,0.0,0.01,0.006,0.008,0.0,0.0,0.018,0.0,0.004,0.019,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0
to,0.227,0.027,0.05,0.048,0.042,0.051,0.048,0.015,0.088,0.0,0.0,0.013,0.0,0.006,0.0,0.095,0.0,0.0,0.074,0.0,0.0,0.02,0.036,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.008,0.0,0.005,0.048,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.333,0.006,0.039,0.048,0.105,0.135,0.0,0.024,0.051,0.0,0.024,0.047,0.0,0.002,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.036,0.01,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.013,0.0,0.013,0.0,0.027,0.01,0.005,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0
a,0.051,0.0,0.255,0.01,0.064,0.1,0.042,0.017,0.083,0.0,0.018,0.031,0.0,0.031,0.0,0.094,0.0,0.0,0.056,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.02,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.26,0.017,0.128,0.252,0.018,0.062,0.0,0.0,0.054,0.0,0.0,0.008,0.0,0.034,0.0,0.048,0.0,0.0,0.0,0.034,0.0,0.008,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.126,0.083,0.033,0.069,0.088,0.011,0.01,0.003,0.078,0.0,0.028,0.064,0.0,0.025,0.0,0.049,0.0,0.032,0.042,0.008,0.0,0.0,0.0,0.045,0.024,0.0,0.05,0.0,0.008,0.032,0.003,0.0,0.0,0.0,0.035,0.013,0.024,0.009,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.471,0.0,0.0,0.0,0.0,0.116,0.0,0.049,0.0,0.0,0.0,0.012,0.0,0.087,0.0,0.116,0.065,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.135,0.076,0.027,0.142,0.058,0.256,0.015,0.027,0.015,0.0,0.0,0.036,0.0,0.0,0.0,0.012,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.261,0.028,0.011,0.018,0.024,0.064,0.014,0.013,0.045,0.0,0.039,0.011,0.004,0.0,0.0,0.169,0.0,0.0,0.0,0.042,0.0,0.004,0.004,0.155,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.45,0.0,0.333,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
