function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.104,0.105,0.139,0.059,0.037,0.044,0.015,0.013,0.012,0.016,0.012,0.0,0.082,0.007,0.0,0.0,0.048,0.0,0.033,0.053,0.0,0.0,0.0,0.045,0.025,0.012,0.028,0.061,0.002,0.0,0.0,0.006,0.005,0.004,0.0,0.018,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
to,0.204,0.15,0.064,0.133,0.003,0.066,0.022,0.011,0.033,0.0,0.0,0.008,0.003,0.003,0.0,0.0,0.0,0.008,0.0,0.014,0.0,0.053,0.0,0.007,0.0,0.012,0.005,0.0,0.0,0.0,0.0,0.086,0.045,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.461,0.024,0.0,0.004,0.1,0.01,0.049,0.0,0.0,0.0,0.0,0.006,0.039,0.012,0.0,0.008,0.124,0.0,0.044,0.024,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0
a,0.055,0.194,0.148,0.141,0.072,0.0,0.122,0.013,0.126,0.03,0.041,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.134,0.068,0.0,0.366,0.021,0.0,0.05,0.0,0.157,0.0,0.004,0.0,0.0,0.021,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.179,0.022,0.116,0.117,0.07,0.07,0.0,0.0,0.123,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.026,0.14,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029
on,0.677,0.031,0.027,0.0,0.097,0.02,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.481,0.134,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.15,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.102,0.251,0.062,0.06,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.143,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.06
as,0.241,0.0,0.03,0.301,0.0,0.352,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
