function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.218,0.077,0.202,0.0,0.005,0.117,0.034,0.064,0.019,0.0,0.03,0.036,0.0,0.0,0.0,0.0,0.02,0.025,0.02,0.034,0.006,0.0,0.0,0.029,0.005,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.019,0.0,0.008,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0
to,0.204,0.086,0.101,0.045,0.082,0.126,0.018,0.01,0.0,0.0,0.07,0.042,0.002,0.0,0.0,0.051,0.004,0.0,0.0,0.0,0.015,0.0,0.022,0.0,0.0,0.0,0.009,0.0,0.039,0.006,0.038,0.0,0.005,0.004,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0
of,0.371,0.067,0.033,0.023,0.059,0.219,0.023,0.017,0.01,0.0,0.0,0.023,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.023,0.023,0.0,0.0,0.0,0.0
a,0.066,0.125,0.206,0.056,0.1,0.042,0.0,0.0,0.0,0.0,0.013,0.117,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.452,0.014,0.104,0.085,0.017,0.01,0.01,0.0,0.023,0.031,0.017,0.038,0.0,0.0,0.017,0.041,0.0,0.0,0.0,0.023,0.041,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
and,0.225,0.188,0.043,0.014,0.084,0.068,0.068,0.003,0.029,0.029,0.005,0.005,0.0,0.0,0.0,0.0,0.006,0.035,0.016,0.005,0.014,0.0,0.0,0.014,0.029,0.0,0.0,0.0,0.011,0.011,0.032,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.019,0.0,0.0,0.019,0.0,0.0
on,0.258,0.085,0.072,0.0,0.0,0.186,0.0,0.013,0.0,0.013,0.0,0.01,0.0,0.041,0.0,0.0,0.073,0.007,0.0,0.0,0.013,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.055,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0
for,0.189,0.084,0.148,0.0,0.042,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.132,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.0,0.0,0.0,0.022,0.0,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.068,0.012,0.162,0.051,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.162,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.047,0.31,0.199,0.0,0.047,0.231,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.063,0.0,0.0,0.0,0.0
