function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.135,0.095,0.079,0.035,0.115,0.089,0.046,0.006,0.0,0.027,0.0,0.034,0.009,0.013,0.037,0.0,0.021,0.0,0.004,0.048,0.017,0.0,0.004,0.0,0.0,0.0,0.0,0.009,0.017,0.0,0.0,0.0,0.0,0.0,0.061,0.033,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.002,0.0
to,0.336,0.0,0.032,0.159,0.022,0.0,0.019,0.0,0.009,0.044,0.0,0.049,0.005,0.059,0.0,0.0,0.0,0.0,0.012,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.044,0.0,0.0,0.0
of,0.383,0.061,0.006,0.018,0.103,0.018,0.0,0.063,0.018,0.023,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.008,0.01,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.218,0.027,0.071,0.0,0.052,0.0,0.04,0.106,0.04,0.0,0.0,0.079,0.0,0.027,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0
in,0.301,0.081,0.0,0.268,0.036,0.0,0.023,0.0,0.02,0.0,0.0,0.01,0.032,0.008,0.0,0.0,0.0,0.0,0.0,0.072,0.081,0.0,0.04,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.119,0.175,0.017,0.222,0.064,0.015,0.015,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.032,0.169,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.024,0.0
on,0.351,0.077,0.104,0.04,0.0,0.128,0.0,0.03,0.0,0.0,0.0,0.0,0.07,0.029,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
for,0.644,0.037,0.0,0.065,0.087,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.264,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.03,0.129,0.184,0.184,0.067,0.118,0.0,0.033,0.011,0.0,0.0,0.012,0.0,0.0,0.0,0.067,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
