function_words,the,to,in,of,and,a,on,that,for,as,at,with,from,by,its,more,or,which,they,an,but,it,this,down,up,about,after,than,could,will,out,would,like,above,may,no,such,while,who,into,since,most,other,because,some,below,much,when,between,whose
the,0.21,0.167,0.032,0.052,0.095,0.009,0.053,0.028,0.092,0.0,0.025,0.003,0.0,0.033,0.017,0.0,0.002,0.006,0.008,0.011,0.0,0.007,0.0,0.0,0.007,0.025,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.017,0.0,0.0,0.016,0.011,0.0,0.0,0.025,0.002,0.014,0.0,0.0,0.0,0.0,0.0,0.004
to,0.271,0.048,0.038,0.025,0.159,0.128,0.044,0.012,0.02,0.0,0.007,0.035,0.0,0.0,0.025,0.0,0.012,0.0,0.023,0.0,0.023,0.0,0.024,0.0,0.002,0.011,0.0,0.0,0.0,0.002,0.006,0.002,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.026
in,0.214,0.223,0.0,0.049,0.047,0.179,0.106,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.071,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.572,0.056,0.033,0.0,0.045,0.0,0.012,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.021,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.048,0.058,0.021,0.0,0.0,0.0,0.0,0.0,0.006
and,0.254,0.116,0.031,0.013,0.047,0.065,0.036,0.057,0.013,0.0,0.027,0.035,0.0,0.0,0.01,0.0,0.01,0.0,0.027,0.0,0.035,0.0,0.0,0.0,0.004,0.056,0.0,0.0,0.0,0.01,0.015,0.0,0.0,0.0,0.01,0.0,0.0,0.007,0.006,0.011,0.004,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.053
a,0.009,0.024,0.0,0.27,0.103,0.05,0.099,0.176,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.028,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.259,0.05,0.012,0.028,0.155,0.0,0.088,0.089,0.089,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.028,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.391,0.089,0.0,0.069,0.052,0.011,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.164,0.0,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0
for,0.133,0.172,0.041,0.0,0.109,0.0,0.0,0.063,0.013,0.0,0.0,0.066,0.0,0.0,0.26,0.0,0.023,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
