function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.11,0.106,0.213,0.12,0.122,0.005,0.0,0.019,0.005,0.041,0.056,0.007,0.049,0.0,0.015,0.0,0.0,0.0,0.0,0.055,0.0,0.051,0.012,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.003,0.0,0.0,0.0,0.0
to,0.195,0.045,0.087,0.072,0.067,0.007,0.0,0.129,0.0,0.0,0.13,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.023,0.008,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0
of,0.41,0.018,0.153,0.079,0.033,0.023,0.006,0.004,0.003,0.0,0.028,0.007,0.0,0.0,0.003,0.032,0.0,0.0,0.018,0.042,0.0,0.0,0.04,0.0,0.013,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0
a,0.086,0.147,0.196,0.058,0.062,0.006,0.081,0.0,0.031,0.0,0.095,0.0,0.011,0.0,0.075,0.046,0.0,0.0,0.0,0.0,0.062,0.0,0.01,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.219,0.024,0.037,0.22,0.004,0.005,0.056,0.007,0.0,0.0,0.032,0.028,0.014,0.0,0.024,0.0,0.0,0.0,0.018,0.042,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.037,0.0,0.075,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0
and,0.0,0.055,0.0,0.131,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.197,0.0,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.075,0.0,0.176,0.0,0.022,0.0,0.0,0.047,0.0,0.154,0.0,0.039,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0
for,0.124,0.0,0.0,0.42,0.186,0.0,0.039,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.401,0.09,0.075,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.36,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
