function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.201,0.136,0.045,0.013,0.095,0.015,0.013,0.011,0.188,0.019,0.0,0.011,0.01,0.0,0.0,0.045,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.015,0.0,0.004,0.0,0.0,0.0,0.0,0.039,0.009,0.023,0.0,0.0,0.011,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0
to,0.279,0.014,0.032,0.158,0.0,0.045,0.0,0.025,0.124,0.059,0.034,0.012,0.0,0.038,0.0,0.0,0.006,0.0,0.0,0.044,0.0,0.0,0.045,0.0,0.0,0.034,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.25,0.072,0.067,0.155,0.059,0.035,0.0,0.04,0.028,0.032,0.0,0.0,0.0,0.038,0.044,0.0,0.0,0.0,0.0,0.071,0.0,0.012,0.0,0.028,0.0,0.004,0.0,0.007,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.075,0.184,0.113,0.009,0.185,0.039,0.012,0.029,0.039,0.052,0.027,0.081,0.0,0.009,0.009,0.019,0.0,0.0,0.0,0.026,0.0,0.022,0.0,0.012,0.0,0.009,0.012,0.004,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.11,0.062,0.193,0.086,0.113,0.0,0.0,0.007,0.04,0.0,0.009,0.0,0.033,0.0,0.0,0.0,0.053,0.0,0.0,0.105,0.0,0.115,0.012,0.022,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.157,0.141,0.04,0.09,0.0,0.05,0.0,0.078,0.0,0.082,0.037,0.0,0.0,0.05,0.118,0.0,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.179,0.085,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.269,0.0,0.0,0.0,0.0,0.179,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.175,0.197,0.0,0.35,0.209,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.243,0.0,0.103,0.024,0.088,0.004,0.0,0.0,0.058,0.0,0.079,0.0,0.0,0.0,0.05,0.091,0.041,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.016,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.118,0.226,0.067,0.27,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.024,0.0,0.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
