function_words,the,to,and,of,a,in,on,for,that,with,as,by,from,at,this,who,its,it,will,more,an,would,or,after,down,before,but,than,which,some,about,next,up,so,all,could,including,against,during,our,many,over,out,off,other,per,alongside,any,both,while
the,0.167,0.103,0.072,0.125,0.065,0.05,0.018,0.051,0.032,0.045,0.029,0.013,0.002,0.005,0.018,0.0,0.0,0.0,0.017,0.0,0.0,0.012,0.016,0.039,0.0,0.036,0.012,0.0,0.012,0.0,0.002,0.0,0.0,0.016,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0
to,0.353,0.072,0.048,0.025,0.206,0.005,0.094,0.0,0.015,0.029,0.022,0.014,0.009,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.044,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.201,0.146,0.065,0.012,0.057,0.0,0.009,0.033,0.102,0.043,0.0,0.028,0.0,0.028,0.009,0.0,0.0,0.0,0.049,0.066,0.007,0.016,0.0,0.0,0.0,0.012,0.0,0.049,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0
of,0.334,0.005,0.052,0.019,0.117,0.029,0.022,0.007,0.044,0.031,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.005,0.0,0.0,0.029,0.0,0.017,0.0,0.029,0.07,0.0,0.0,0.0,0.0,0.0,0.029,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039
a,0.108,0.119,0.073,0.047,0.032,0.039,0.159,0.031,0.141,0.0,0.026,0.033,0.066,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015
in,0.191,0.1,0.048,0.043,0.269,0.073,0.072,0.0,0.072,0.0,0.0,0.015,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.064,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.192,0.007,0.035,0.023,0.204,0.0,0.061,0.057,0.154,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.074,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.031,0.0,0.0
for,0.508,0.128,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0
that,0.131,0.09,0.032,0.016,0.319,0.076,0.007,0.037,0.032,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.007,0.0,0.07,0.009,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.021,0.0,0.0,0.009,0.012,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.234,0.0,0.0,0.048,0.222,0.073,0.139,0.006,0.027,0.0,0.036,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.048,0.0,0.0,0.015,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
