function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.115,0.081,0.207,0.053,0.043,0.036,0.017,0.046,0.025,0.022,0.009,0.022,0.026,0.0,0.013,0.027,0.013,0.077,0.017,0.017,0.0,0.0,0.027,0.022,0.013,0.0,0.019,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.034,0.0,0.0,0.0,0.0,0.0
to,0.357,0.068,0.025,0.168,0.036,0.014,0.0,0.072,0.0,0.0,0.019,0.0,0.0,0.0,0.076,0.0,0.0,0.01,0.019,0.006,0.0,0.0,0.014,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0
of,0.406,0.042,0.016,0.083,0.058,0.025,0.019,0.008,0.055,0.0,0.0,0.029,0.014,0.0,0.044,0.026,0.0,0.068,0.019,0.0,0.0,0.0,0.036,0.0,0.014,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.025,0.0,0.0,0.0,0.0,0.0
a,0.077,0.012,0.154,0.081,0.131,0.115,0.0,0.087,0.0,0.018,0.0,0.012,0.021,0.0,0.0,0.005,0.0,0.016,0.066,0.0,0.007,0.0,0.028,0.0,0.037,0.037,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0
in,0.35,0.094,0.113,0.135,0.019,0.061,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.034,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0
and,0.235,0.074,0.177,0.082,0.064,0.013,0.0,0.0,0.0,0.066,0.032,0.018,0.0,0.0,0.0,0.019,0.0,0.041,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0
on,0.242,0.0,0.022,0.256,0.0,0.0,0.0,0.0,0.128,0.036,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.072,0.054,0.0,0.0,0.03,0.03,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.21,0.029,0.071,0.059,0.0,0.165,0.0,0.0,0.0,0.0,0.006,0.016,0.008,0.0,0.028,0.0,0.0,0.064,0.084,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.014,0.0,0.033,0.033,0.059,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.084,0.231,0.016,0.037,0.209,0.038,0.021,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.171,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.0,0.0,0.0,0.439,0.0,0.0,0.0,0.0,0.561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.192,0.132,0.062,0.052,0.063,0.172,0.0,0.0,0.137,0.0,0.014,0.0,0.0,0.0,0.025,0.008,0.0,0.024,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105
by,0.444,0.0,0.0,0.0,0.097,0.0,0.0,0.0,0.017,0.0,0.041,0.0,0.0,0.0,0.0,0.097,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.309,0.018,0.141,0.078,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.033,0.0,0.0,0.104,0.0,0.044,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0
from,0.0,0.0,0.0,0.0,0.0,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its,0.0,0.488,0.058,0.225,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it,0.26,0.167,0.0,0.0,0.028,0.05,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.117,0.209,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will,0.212,0.078,0.033,0.078,0.037,0.044,0.058,0.0,0.0,0.0,0.0,0.068,0.01,0.0,0.0,0.0,0.0,0.0,0.104,0.018,0.0,0.0,0.044,0.0,0.078,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
more,0.08,0.066,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.042,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
which,0.098,0.0,0.055,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
after,0.0,0.0,0.0,0.0,0.078,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this,0.141,0.0,0.079,0.0,0.0,0.188,0.0,0.0,0.0,0.0,0.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
