function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.119,0.153,0.198,0.042,0.004,0.023,0.015,0.026,0.026,0.003,0.0,0.006,0.052,0.006,0.082,0.054,0.007,0.074,0.017,0.0,0.005,0.0,0.009,0.0,0.013,0.006,0.005,0.0,0.0,0.005,0.0,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.014,0.009,0.0,0.0,0.0,0.005,0.0,0.0,0.0
to,0.221,0.092,0.088,0.124,0.036,0.073,0.0,0.003,0.0,0.0,0.0,0.0,0.019,0.0,0.172,0.003,0.007,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.029,0.014,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.065,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.231,0.085,0.012,0.108,0.041,0.036,0.0,0.037,0.032,0.0,0.0,0.0,0.09,0.0,0.105,0.043,0.041,0.012,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.179,0.049,0.067,0.013,0.091,0.019,0.031,0.027,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.054,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.023,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.027,0.067,0.0,0.0,0.0,0.073,0.0,0.0,0.0
in,0.215,0.179,0.02,0.166,0.085,0.0,0.01,0.038,0.052,0.0,0.0,0.0,0.0,0.018,0.013,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.257,0.24,0.083,0.093,0.0,0.0,0.0,0.052,0.062,0.0,0.0,0.0,0.035,0.0,0.0,0.026,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.323,0.093,0.029,0.052,0.162,0.122,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.227,0.059,0.018,0.0,0.0,0.103,0.0,0.01,0.068,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.032,0.0,0.076,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.181,0.053,0.104,0.071,0.062,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.071,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.228,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
