function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.117,0.118,0.139,0.08,0.062,0.118,0.026,0.037,0.038,0.02,0.015,0.005,0.009,0.002,0.0,0.0,0.01,0.007,0.015,0.003,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.007,0.023,0.0,0.015,0.011,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.007,0.007,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.012
to,0.228,0.04,0.044,0.246,0.04,0.051,0.07,0.023,0.033,0.0,0.075,0.031,0.002,0.004,0.0,0.0,0.004,0.0,0.006,0.0,0.002,0.007,0.0,0.0,0.0,0.0,0.0,0.028,0.014,0.002,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.018,0.014,0.0,0.0,0.002,0.0,0.0,0.0,0.009,0.0
of,0.273,0.064,0.004,0.0,0.063,0.09,0.0,0.05,0.04,0.005,0.01,0.0,0.078,0.0,0.0,0.0,0.065,0.0,0.054,0.0,0.011,0.054,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.053,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.017,0.0
a,0.185,0.037,0.101,0.013,0.059,0.092,0.042,0.009,0.087,0.016,0.129,0.005,0.037,0.012,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.016,0.0,0.007,0.0,0.063,0.0
in,0.189,0.009,0.09,0.0,0.048,0.138,0.034,0.027,0.048,0.054,0.0,0.012,0.057,0.027,0.0,0.0,0.009,0.0,0.0,0.0,0.065,0.036,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.048,0.065
and,0.202,0.063,0.029,0.071,0.033,0.026,0.003,0.057,0.11,0.0,0.005,0.022,0.051,0.012,0.0,0.0,0.039,0.027,0.0,0.012,0.0,0.0,0.039,0.0,0.0,0.009,0.0,0.005,0.003,0.0,0.0,0.005,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.031,0.004
on,0.384,0.055,0.056,0.032,0.035,0.151,0.024,0.042,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.042,0.0,0.0,0.0
for,0.361,0.124,0.0,0.074,0.0,0.116,0.0,0.0,0.028,0.0,0.021,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.028,0.0
that,0.241,0.104,0.037,0.104,0.012,0.094,0.058,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.021,0.109,0.0,0.0,0.021,0.0,0.012,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.174,0.0,0.037,0.0,0.0,0.0,0.066,0.0,0.268,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.0,0.0
