function_words,the,to,and,of,a,in,on,for,that,with,as,by,from,at,this,who,its,it,will,more,an,would,or,after,down,before,but,than,which,some,about,next,up,so,all,could,including,against,during,our,many,over,out,off,other,per,alongside,any,both,while
the,0.094,0.106,0.048,0.075,0.009,0.061,0.036,0.059,0.007,0.009,0.0,0.013,0.067,0.032,0.0,0.013,0.096,0.0,0.0,0.0,0.0,0.02,0.029,0.046,0.024,0.0,0.0,0.009,0.01,0.0,0.0,0.0,0.023,0.015,0.0,0.02,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.036,0.018,0.0,0.0,0.0,0.009
to,0.264,0.082,0.11,0.0,0.075,0.029,0.061,0.061,0.0,0.0,0.0,0.028,0.057,0.025,0.0,0.0,0.025,0.029,0.0,0.0,0.11,0.0,0.005,0.016,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0
and,0.401,0.116,0.0,0.088,0.216,0.0,0.0,0.0,0.016,0.0,0.05,0.0,0.025,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.446,0.047,0.0,0.0,0.082,0.0,0.052,0.031,0.029,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0,0.022,0.0,0.017,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.0,0.122,0.0,0.133,0.076,0.067,0.0,0.0,0.032,0.0,0.101,0.125,0.067,0.024,0.0,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.019,0.249,0.125,0.044,0.066,0.0,0.042,0.0,0.0,0.0,0.046,0.066,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.345,0.0,0.0,0.012,0.007,0.079,0.0,0.0,0.157,0.0,0.007,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
for,0.123,0.188,0.0,0.0,0.246,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.171,0.048,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.26,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.325,0.077,0.0,0.0,0.325,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
