function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.153,0.174,0.051,0.043,0.031,0.127,0.014,0.01,0.015,0.037,0.045,0.004,0.016,0.011,0.024,0.024,0.0,0.007,0.007,0.007,0.0,0.007,0.0,0.024,0.005,0.003,0.014,0.013,0.005,0.012,0.002,0.015,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.002,0.0,0.03,0.009,0.0,0.0,0.0,0.0
to,0.266,0.052,0.069,0.185,0.054,0.003,0.0,0.048,0.024,0.057,0.006,0.012,0.007,0.0,0.038,0.047,0.016,0.0,0.0,0.0,0.007,0.013,0.0,0.0,0.0,0.004,0.0,0.0,0.023,0.002,0.0,0.009,0.0,0.0,0.017,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.002,0.0,0.0,0.0,0.0
of,0.398,0.029,0.005,0.145,0.108,0.043,0.0,0.0,0.0,0.0,0.019,0.0,0.029,0.03,0.0,0.014,0.0,0.014,0.0,0.0,0.0,0.034,0.0,0.005,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.211,0.115,0.186,0.087,0.195,0.0,0.033,0.074,0.0,0.0,0.02,0.0,0.0,0.0,0.028,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.377,0.079,0.109,0.16,0.019,0.039,0.0,0.011,0.0,0.013,0.005,0.0,0.007,0.007,0.005,0.0,0.0,0.0,0.0,0.0,0.017,0.105,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0
and,0.148,0.044,0.031,0.02,0.022,0.074,0.0,0.008,0.043,0.014,0.036,0.043,0.0,0.0,0.059,0.057,0.0,0.064,0.043,0.0,0.0,0.0,0.0,0.004,0.032,0.0,0.0,0.0,0.0,0.057,0.01,0.0,0.0,0.0,0.114,0.0,0.0,0.024,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.276,0.073,0.013,0.143,0.026,0.0,0.023,0.0,0.0,0.086,0.0,0.023,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.054,0.061,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.023,0.062,0.0,0.0,0.0,0.0,0.055,0.0,0.234,0.0,0.0,0.0,0.0,0.0,0.351,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.362,0.085,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.116,0.247,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.009,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.25,0.063,0.012,0.117,0.058,0.029,0.0,0.008,0.0,0.077,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.091,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.005,0.0,0.0,0.016,0.0,0.0,0.0,0.0
with,0.0,0.182,0.138,0.514,0.049,0.0,0.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.372,0.133,0.075,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.0
