function_words,the,to,and,of,a,in,on,for,that,with,as,by,from,at,this,who,its,it,will,more,an,would,or,after,down,before,but,than,which,some,about,next,up,so,all,could,including,against,during,our,many,over,out,off,other,per,alongside,any,both,while
the,0.202,0.092,0.048,0.124,0.043,0.066,0.098,0.003,0.017,0.003,0.038,0.004,0.0,0.012,0.0,0.0,0.029,0.0,0.015,0.035,0.0,0.0,0.0,0.003,0.022,0.0,0.0,0.009,0.016,0.006,0.021,0.0,0.035,0.0,0.0,0.012,0.0,0.041,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
to,0.32,0.0,0.01,0.063,0.164,0.043,0.081,0.0,0.0,0.0,0.092,0.066,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.01,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014
and,0.366,0.011,0.047,0.0,0.089,0.0,0.043,0.098,0.062,0.0,0.0,0.015,0.0,0.0,0.111,0.0,0.008,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.376,0.053,0.068,0.01,0.053,0.118,0.096,0.0,0.039,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.026,0.004,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025
a,0.197,0.047,0.046,0.176,0.015,0.138,0.11,0.08,0.005,0.0,0.039,0.0,0.0,0.005,0.026,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
in,0.471,0.043,0.051,0.062,0.0,0.003,0.039,0.0,0.012,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.108,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.066,0.0,0.01,0.031,0.0,0.025,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
on,0.321,0.0,0.01,0.076,0.09,0.049,0.042,0.032,0.008,0.013,0.095,0.003,0.0,0.011,0.003,0.0,0.0,0.0,0.01,0.05,0.048,0.0,0.0,0.018,0.012,0.0,0.0,0.0,0.037,0.0,0.008,0.0,0.0,0.0,0.0,0.018,0.0,0.036,0.0,0.0,0.0,0.003,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
for,0.772,0.063,0.0,0.0,0.0,0.047,0.031,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.435,0.0,0.074,0.0,0.171,0.0,0.099,0.013,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.319,0.0,0.0,0.178,0.123,0.128,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
