function_words,the,to,in,of,and,a,on,that,for,as,at,with,from,by,its,more,or,which,they,an,but,it,this,down,up,about,after,than,could,will,out,would,like,above,may,no,such,while,who,into,since,most,other,because,some,below,much,when,between,whose
the,0.105,0.092,0.067,0.191,0.059,0.055,0.021,0.079,0.043,0.023,0.02,0.029,0.011,0.0,0.033,0.012,0.002,0.014,0.0,0.006,0.005,0.005,0.018,0.006,0.003,0.023,0.0,0.0,0.0,0.0,0.004,0.0,0.007,0.0,0.0,0.002,0.0,0.005,0.002,0.0,0.0,0.035,0.002,0.0,0.0,0.0,0.0,0.0,0.024,0.0
to,0.192,0.026,0.093,0.039,0.058,0.111,0.01,0.037,0.046,0.0,0.005,0.0,0.029,0.0,0.052,0.0,0.0,0.044,0.0,0.0,0.029,0.075,0.003,0.026,0.026,0.02,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.015,0.0,0.0
in,0.232,0.051,0.021,0.052,0.063,0.068,0.03,0.16,0.004,0.013,0.004,0.032,0.0,0.0,0.01,0.018,0.0,0.047,0.0,0.047,0.0,0.004,0.027,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.042,0.0,0.0,0.006,0.032,0.0
of,0.29,0.059,0.129,0.03,0.071,0.026,0.01,0.105,0.014,0.012,0.033,0.024,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.008,0.011,0.0,0.069,0.019,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0
and,0.241,0.104,0.092,0.037,0.0,0.088,0.033,0.025,0.0,0.033,0.019,0.0,0.014,0.0,0.095,0.011,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.011,0.0,0.033,0.0,0.0,0.0,0.004,0.0
a,0.135,0.085,0.139,0.063,0.072,0.057,0.066,0.126,0.033,0.0,0.0,0.0,0.02,0.0,0.008,0.0,0.0,0.038,0.031,0.0,0.0,0.026,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.035,0.015,0.0
on,0.307,0.0,0.086,0.0,0.0,0.218,0.0,0.073,0.086,0.0,0.0,0.0,0.049,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.322,0.066,0.074,0.129,0.018,0.013,0.0,0.041,0.008,0.027,0.021,0.003,0.0,0.0,0.0,0.0,0.006,0.0,0.042,0.0,0.0,0.069,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.013,0.0,0.0,0.0,0.0,0.024,0.0,0.014,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.479,0.021,0.0,0.089,0.009,0.0,0.021,0.012,0.038,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0
as,0.225,0.014,0.108,0.0,0.081,0.192,0.0,0.0,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
