function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.087,0.048,0.194,0.021,0.044,0.043,0.0,0.117,0.021,0.0,0.009,0.021,0.01,0.0,0.038,0.0,0.024,0.126,0.0,0.012,0.0,0.0,0.0,0.0,0.009,0.007,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.009,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,0.153,0.064,0.181,0.132,0.094,0.0,0.0,0.047,0.0,0.12,0.0,0.0,0.0,0.0,0.022,0.0,0.155,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0
of,0.171,0.0,0.091,0.098,0.13,0.045,0.006,0.019,0.0,0.045,0.0,0.022,0.0,0.0,0.0,0.034,0.083,0.0,0.0,0.09,0.0,0.025,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.0,0.037,0.395,0.048,0.169,0.025,0.0,0.066,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.05,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.243,0.015,0.164,0.164,0.028,0.078,0.0,0.033,0.0,0.0,0.045,0.0,0.014,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0
and,0.231,0.106,0.094,0.113,0.023,0.042,0.0,0.008,0.0,0.0,0.035,0.0,0.044,0.07,0.005,0.0,0.0,0.015,0.0,0.0,0.006,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.022,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0
on,0.271,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.171,0.0,0.0,0.0,0.048,0.0,0.0,0.128,0.072,0.0,0.0,0.0,0.02,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.147,0.228,0.042,0.1,0.076,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.012,0.0,0.119,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.07,0.0,0.039,0.044,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.33,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.159,0.0,0.0,0.0,0.028,0.0,0.056,0.067,0.0,0.089,0.016,0.0,0.0,0.0,0.0,0.317,0.0,0.0,0.0,0.095,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.0,0.0
