function_words,the,to,and,of,a,in,on,for,that,with,as,by,from,at,this,who,its,it,will,more,an,would,or,after,down,before,but,than,which,some,about,next,up,so,all,could,including,against,during,our,many,over,out,off,other,per,alongside,any,both,while
the,0.067,0.033,0.085,0.191,0.086,0.026,0.035,0.026,0.026,0.011,0.091,0.0,0.047,0.0,0.026,0.0,0.023,0.031,0.0,0.02,0.03,0.0,0.02,0.0,0.0,0.0,0.015,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.075,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,0.157,0.0,0.048,0.184,0.0,0.011,0.068,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.043,0.0,0.01,0.0,0.043,0.0,0.0,0.0,0.01,0.057,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.057,0.0,0.0,0.064,0.0,0.0
and,0.122,0.223,0.0,0.137,0.029,0.0,0.106,0.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.019,0.0,0.0,0.011,0.0,0.0
of,0.316,0.044,0.032,0.031,0.0,0.038,0.06,0.0,0.034,0.009,0.012,0.021,0.007,0.0,0.0,0.0,0.104,0.021,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.039,0.0,0.0,0.0,0.021,0.028,0.0,0.007,0.0,0.0,0.0,0.0,0.013,0.016,0.0,0.0,0.098,0.0,0.0
a,0.121,0.0,0.018,0.226,0.048,0.081,0.088,0.0,0.0,0.0,0.039,0.057,0.057,0.0,0.008,0.026,0.043,0.0,0.057,0.0,0.032,0.01,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.473,0.035,0.111,0.033,0.0,0.0,0.01,0.044,0.018,0.0,0.088,0.0,0.0,0.0,0.044,0.0,0.104,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0
on,0.185,0.035,0.0,0.121,0.02,0.067,0.008,0.063,0.011,0.047,0.052,0.011,0.0,0.0,0.0,0.0,0.138,0.047,0.0,0.0,0.071,0.0,0.0,0.0,0.022,0.0,0.0,0.03,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.02,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.09,0.108,0.018,0.052,0.046,0.073,0.096,0.009,0.052,0.062,0.016,0.0,0.0,0.0,0.0,0.0,0.029,0.036,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.112,0.0,0.0,0.039,0.149,0.052,0.0,0.0,0.0,0.0,0.059,0.0,0.044,0.0,0.0,0.0,0.141,0.124,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.403,0.0,0.0,0.036,0.085,0.0,0.0,0.02,0.015,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
