function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.129,0.096,0.115,0.078,0.103,0.11,0.014,0.008,0.0,0.0,0.006,0.019,0.018,0.04,0.018,0.018,0.014,0.0,0.008,0.0,0.018,0.0,0.0,0.014,0.006,0.039,0.01,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0
to,0.239,0.027,0.046,0.094,0.071,0.045,0.02,0.063,0.0,0.008,0.0,0.0,0.0,0.024,0.048,0.032,0.0,0.0,0.0,0.01,0.037,0.024,0.0,0.013,0.013,0.023,0.0,0.0,0.0,0.0,0.084,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.011,0.0,0.0
of,0.354,0.055,0.04,0.038,0.094,0.103,0.007,0.016,0.0,0.029,0.0,0.01,0.0,0.0,0.038,0.0,0.028,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.005,0.007,0.0,0.005,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.028,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0
a,0.185,0.358,0.008,0.127,0.0,0.073,0.092,0.062,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.299,0.138,0.026,0.061,0.084,0.067,0.0,0.0,0.0,0.039,0.0,0.038,0.0,0.0,0.077,0.018,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.008,0.0,0.0
and,0.207,0.048,0.112,0.0,0.031,0.09,0.078,0.0,0.0,0.0,0.029,0.051,0.0,0.0,0.005,0.039,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.185,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
on,0.413,0.0,0.087,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.114,0.0,0.0,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.476,0.166,0.111,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,0.0,0.0,0.0,0.0,0.0
that,0.441,0.144,0.022,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.259,0.0,0.051,0.0,0.0,0.306,0.0,0.0,0.0,0.0,0.0,0.098,0.073,0.0,0.026,0.0,0.023,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
