function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.151,0.12,0.193,0.039,0.07,0.04,0.02,0.06,0.061,0.003,0.019,0.014,0.0,0.001,0.011,0.006,0.006,0.0,0.06,0.003,0.0,0.003,0.0,0.01,0.014,0.015,0.0,0.0,0.016,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.011,0.0,0.005,0.0,0.0,0.004,0.0,0.005,0.0,0.0,0.0
to,0.248,0.082,0.073,0.061,0.069,0.035,0.004,0.091,0.051,0.033,0.057,0.003,0.0,0.046,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.016,0.035,0.0,0.003,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.021,0.0,0.0,0.044,0.0,0.0
of,0.301,0.042,0.046,0.111,0.075,0.098,0.008,0.078,0.043,0.04,0.03,0.007,0.009,0.0,0.0,0.0,0.0,0.0,0.038,0.008,0.0,0.0,0.0,0.002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.006,0.0,0.014,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0
a,0.13,0.08,0.225,0.038,0.141,0.05,0.008,0.061,0.043,0.0,0.043,0.032,0.043,0.008,0.0,0.0,0.004,0.0,0.042,0.0,0.0,0.0,0.0,0.006,0.008,0.0,0.0,0.032,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.368,0.065,0.092,0.158,0.026,0.034,0.006,0.034,0.051,0.0,0.032,0.0,0.019,0.0,0.026,0.0,0.011,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.003,0.037,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.163,0.165,0.122,0.02,0.078,0.047,0.015,0.012,0.048,0.025,0.039,0.0,0.0,0.0,0.0,0.047,0.047,0.0,0.02,0.02,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0
on,0.119,0.038,0.0,0.23,0.038,0.077,0.039,0.0,0.097,0.0,0.029,0.091,0.051,0.0,0.0,0.007,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.252,0.12,0.047,0.084,0.115,0.044,0.004,0.047,0.022,0.011,0.061,0.0,0.0,0.005,0.0,0.0,0.016,0.0,0.048,0.005,0.0,0.0,0.0,0.0,0.036,0.032,0.027,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0
that,0.286,0.043,0.0,0.013,0.057,0.05,0.039,0.062,0.007,0.035,0.013,0.0,0.017,0.0,0.01,0.007,0.053,0.0,0.011,0.004,0.0,0.0,0.0,0.063,0.005,0.0,0.0,0.0,0.0,0.135,0.0,0.013,0.0,0.0,0.0,0.03,0.0,0.0,0.017,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.163,0.144,0.029,0.092,0.012,0.029,0.0,0.114,0.052,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.092,0.022,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0
with,0.258,0.016,0.058,0.0,0.016,0.236,0.012,0.007,0.0,0.0,0.0,0.0,0.028,0.0,0.021,0.0,0.0,0.0,0.088,0.0,0.0,0.009,0.0,0.0,0.066,0.0,0.0,0.037,0.099,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.589,0.121,0.022,0.0,0.068,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
