function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.249,0.089,0.147,0.061,0.047,0.129,0.063,0.01,0.001,0.011,0.021,0.001,0.022,0.016,0.004,0.0,0.004,0.006,0.0,0.013,0.004,0.0,0.003,0.006,0.0,0.0,0.003,0.009,0.0,0.0,0.0,0.003,0.011,0.008,0.007,0.004,0.01,0.0,0.0,0.0,0.009,0.0,0.025,0.001,0.0,0.0,0.002,0.0,0.0,0.0
to,0.519,0.097,0.062,0.067,0.016,0.051,0.037,0.004,0.0,0.007,0.003,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.004,0.012,0.0,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.014,0.015,0.003,0.0,0.0,0.005,0.0,0.0,0.0
of,0.527,0.062,0.049,0.006,0.041,0.116,0.04,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.022,0.0,0.0,0.0,0.0,0.043,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.005,0.029,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.14,0.099,0.097,0.027,0.048,0.088,0.172,0.0,0.0,0.008,0.056,0.014,0.0,0.086,0.0,0.0,0.015,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.256,0.0,0.007,0.143,0.031,0.106,0.146,0.017,0.0,0.007,0.0,0.017,0.0,0.0,0.0,0.0,0.047,0.007,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.02,0.01,0.0,0.0
and,0.4,0.113,0.074,0.015,0.029,0.043,0.023,0.004,0.0,0.031,0.011,0.0,0.04,0.027,0.009,0.0,0.003,0.047,0.0,0.005,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.015,0.02,0.0,0.0,0.0,0.0,0.0,0.041,0.006,0.0,0.0,0.0,0.0,0.011,0.0,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0
on,0.444,0.058,0.075,0.082,0.0,0.047,0.04,0.0,0.015,0.064,0.017,0.0,0.013,0.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.525,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.751,0.021,0.021,0.089,0.0,0.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.617,0.0,0.018,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
