function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.14,0.09,0.157,0.046,0.075,0.141,0.045,0.019,0.005,0.0,0.045,0.022,0.003,0.022,0.0,0.037,0.0,0.026,0.01,0.031,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026
to,0.182,0.058,0.093,0.158,0.075,0.052,0.0,0.029,0.044,0.007,0.043,0.012,0.0,0.068,0.038,0.012,0.0,0.012,0.0,0.034,0.0,0.0,0.007,0.0,0.0,0.031,0.016,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.193,0.094,0.033,0.173,0.067,0.123,0.0,0.0,0.008,0.0,0.005,0.003,0.0,0.049,0.009,0.019,0.016,0.0,0.024,0.0,0.0,0.0,0.028,0.0,0.012,0.057,0.05,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.021,0.009,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.055,0.089,0.212,0.03,0.122,0.036,0.011,0.105,0.084,0.0,0.003,0.034,0.0,0.039,0.026,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.023,0.008,0.008,0.039,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.099,0.124,0.072,0.182,0.018,0.094,0.0,0.01,0.038,0.064,0.0,0.0,0.003,0.004,0.01,0.074,0.0,0.0,0.006,0.032,0.0,0.0,0.014,0.042,0.006,0.036,0.028,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.004
and,0.15,0.049,0.1,0.082,0.075,0.043,0.014,0.0,0.033,0.077,0.0,0.043,0.008,0.047,0.047,0.097,0.0,0.0,0.024,0.014,0.0,0.0,0.0,0.049,0.004,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.006
on,0.109,0.145,0.0,0.257,0.128,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.0,0.046,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.131,0.0,0.136,0.116,0.102,0.027,0.021,0.106,0.009,0.009,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.021,0.049,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.116
that,0.158,0.076,0.077,0.006,0.014,0.045,0.0,0.019,0.0,0.011,0.034,0.014,0.0,0.0,0.0,0.06,0.0,0.124,0.054,0.0,0.0,0.0,0.045,0.0,0.0,0.019,0.014,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0
as,0.035,0.006,0.082,0.206,0.0,0.127,0.0,0.0,0.0,0.155,0.034,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0
with,0.035,0.02,0.192,0.452,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0
