function_words,the,to,in,of,and,a,on,that,for,as,at,with,from,by,its,more,or,which,they,an,but,it,this,down,up,about,after,than,could,will,out,would,like,above,may,no,such,while,who,into,since,most,other,because,some,below,much,when,between,whose
the,0.113,0.066,0.157,0.176,0.082,0.089,0.011,0.006,0.015,0.007,0.014,0.017,0.054,0.0,0.014,0.026,0.0,0.0,0.011,0.008,0.014,0.005,0.0,0.0,0.005,0.0,0.0,0.003,0.018,0.006,0.029,0.006,0.004,0.0,0.019,0.0,0.0,0.0,0.003,0.0,0.006,0.0,0.0,0.003,0.0,0.005,0.0,0.01,0.0,0.0
to,0.386,0.101,0.003,0.052,0.067,0.035,0.003,0.003,0.0,0.0,0.023,0.028,0.033,0.01,0.0,0.017,0.0,0.013,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.064,0.09,0.0,0.0,0.004,0.0,0.0
in,0.322,0.093,0.019,0.075,0.061,0.159,0.0,0.0,0.009,0.0,0.029,0.0,0.05,0.022,0.0,0.027,0.025,0.0,0.0,0.007,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.02,0.018,0.0,0.009,0.009,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.009,0.0
of,0.384,0.0,0.104,0.017,0.054,0.02,0.013,0.0,0.0,0.014,0.038,0.038,0.094,0.0,0.0,0.05,0.0,0.0,0.023,0.04,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.007,0.0,0.01,0.0,0.0,0.034,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
and,0.119,0.057,0.059,0.185,0.034,0.021,0.0,0.074,0.021,0.058,0.095,0.038,0.022,0.0,0.0,0.0,0.0,0.005,0.037,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.005,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.061,0.0,0.0
a,0.125,0.133,0.249,0.185,0.033,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.028,0.009,0.037,0.0,0.007,0.0,0.016,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0
on,0.202,0.0,0.054,0.137,0.325,0.0,0.0,0.031,0.0,0.0,0.023,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.311,0.041,0.184,0.0,0.0,0.129,0.0,0.129,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.097,0.0,0.0
for,0.165,0.072,0.227,0.0,0.0,0.3,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.0,0.0,0.024,0.0,0.043,0.0,0.0,0.135,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,0.0,0.0,0.0
at,0.263,0.013,0.198,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.194,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.362,0.037,0.094,0.065,0.048,0.021,0.0,0.021,0.0,0.0,0.189,0.0,0.028,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0
from,0.37,0.031,0.055,0.086,0.147,0.129,0.0,0.0,0.017,0.041,0.0,0.0,0.017,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.703,0.0,0.297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
more,0.065,0.102,0.061,0.0,0.164,0.0,0.0,0.0,0.0,0.072,0.011,0.0,0.0,0.011,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.353,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0
