function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.083,0.185,0.216,0.037,0.042,0.043,0.048,0.0,0.057,0.0,0.043,0.0,0.0,0.0,0.024,0.009,0.01,0.0,0.0,0.024,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.015,0.051,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0
to,0.225,0.111,0.078,0.062,0.019,0.056,0.055,0.0,0.056,0.0,0.0,0.006,0.0,0.053,0.0,0.03,0.0,0.0,0.0,0.006,0.0,0.011,0.0,0.0,0.006,0.0,0.0,0.035,0.053,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.022,0.005,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
of,0.343,0.04,0.028,0.064,0.185,0.033,0.017,0.0,0.043,0.005,0.038,0.0,0.0,0.005,0.0,0.0,0.023,0.0,0.0,0.074,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.09,0.113,0.213,0.069,0.201,0.046,0.016,0.037,0.012,0.028,0.009,0.028,0.0,0.028,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.028,0.007,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.236,0.017,0.075,0.17,0.035,0.095,0.049,0.0,0.052,0.013,0.024,0.015,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.002,0.009,0.029,0.022,0.0,0.0,0.013,0.009,0.0,0.03,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.092,0.1,0.069,0.071,0.059,0.084,0.005,0.053,0.083,0.0,0.123,0.0,0.0,0.022,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.017,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.013,0.028,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0
on,0.131,0.0,0.073,0.013,0.098,0.0,0.0,0.049,0.175,0.031,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.098,0.055,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.098,0.031,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.052,0.324,0.0,0.093,0.035,0.104,0.0,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.096,0.062,0.108,0.11,0.046,0.043,0.0,0.026,0.0,0.035,0.046,0.0,0.0,0.0,0.0,0.008,0.0,0.082,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.046,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.013,0.058,0.097,0.142,0.0,0.113,0.0,0.113,0.0,0.097,0.054,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.129,0.0,0.0,0.0,0.0,0.129,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
