function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.174,0.087,0.183,0.054,0.038,0.052,0.025,0.036,0.0,0.016,0.006,0.013,0.007,0.034,0.004,0.031,0.004,0.0,0.0,0.0,0.0,0.02,0.034,0.036,0.0,0.013,0.0,0.0,0.0,0.024,0.0,0.018,0.011,0.008,0.0,0.01,0.002,0.006,0.0,0.0,0.0,0.0,0.013,0.012,0.0,0.0,0.01,0.018,0.0,0.0
to,0.26,0.082,0.111,0.157,0.069,0.031,0.004,0.023,0.0,0.007,0.0,0.017,0.031,0.023,0.0,0.041,0.055,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.01,0.0,0.0
of,0.459,0.037,0.018,0.059,0.054,0.015,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.044,0.043,0.032,0.0,0.0,0.043,0.0,0.0,0.043,0.0,0.0,0.0,0.018,0.0,0.0,0.043,0.024,0.0,0.0,0.014,0.014,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0
a,0.098,0.118,0.201,0.058,0.214,0.037,0.005,0.031,0.008,0.011,0.011,0.006,0.051,0.004,0.015,0.0,0.017,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.0,0.005,0.008,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0
in,0.354,0.068,0.041,0.181,0.006,0.087,0.011,0.0,0.019,0.019,0.0,0.019,0.019,0.0,0.0,0.0,0.022,0.0,0.014,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.011,0.025,0.0,0.004,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.025,0.0,0.0
and,0.202,0.027,0.082,0.12,0.074,0.0,0.02,0.089,0.084,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.008,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.351,0.071,0.105,0.02,0.018,0.074,0.011,0.006,0.047,0.068,0.0,0.011,0.036,0.0,0.0,0.047,0.005,0.036,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.005,0.0,0.0,0.0
for,0.259,0.08,0.054,0.193,0.008,0.0,0.0,0.014,0.081,0.014,0.011,0.006,0.019,0.0,0.0,0.046,0.011,0.0,0.0,0.0,0.061,0.0,0.04,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.047,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.0,0.0,0.129,0.23,0.097,0.459,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.347,0.0,0.149,0.021,0.049,0.099,0.0,0.028,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.0,0.009,0.0,0.05,0.0,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.6,0.0,0.0,0.0,0.014,0.034,0.0,0.0,0.06,0.107,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0
by,0.499,0.0,0.116,0.037,0.021,0.037,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.133,0.018,0.056,0.266,0.056,0.013,0.052,0.0,0.024,0.0,0.1,0.0,0.042,0.0,0.165,0.0,0.0,0.01,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0
from,0.527,0.0,0.065,0.087,0.037,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.0,0.0,0.0
its,0.0,0.163,0.0,0.07,0.029,0.0,0.165,0.165,0.0,0.0,0.0,0.0,0.0,0.221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.093,0.0,0.0,0.0
it,0.094,0.163,0.049,0.061,0.019,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.082,0.109,0.0,0.0,0.0,0.0,0.0,0.218,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.237,0.125,0.222,0.125,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will,0.635,0.0,0.119,0.067,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
