function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.124,0.061,0.2,0.057,0.052,0.101,0.024,0.038,0.01,0.024,0.0,0.019,0.033,0.036,0.012,0.009,0.007,0.019,0.0,0.036,0.0,0.003,0.005,0.01,0.0,0.0,0.013,0.0,0.0,0.016,0.0,0.007,0.0,0.01,0.0,0.0,0.018,0.019,0.002,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,0.316,0.103,0.049,0.155,0.072,0.111,0.042,0.0,0.0,0.017,0.0,0.0,0.0,0.009,0.0,0.025,0.0,0.0,0.021,0.021,0.0,0.029,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.437,0.04,0.052,0.092,0.018,0.062,0.012,0.045,0.021,0.016,0.0,0.0,0.037,0.021,0.0,0.007,0.049,0.016,0.0,0.026,0.009,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.021,0.0,0.003,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.141,0.077,0.173,0.046,0.085,0.112,0.0,0.135,0.035,0.012,0.0,0.0,0.016,0.021,0.003,0.029,0.005,0.0,0.0,0.012,0.0,0.012,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.003,0.0,0.0,0.0,0.009,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.313,0.022,0.13,0.132,0.055,0.075,0.0,0.022,0.007,0.0,0.0,0.029,0.016,0.044,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.059,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.315,0.139,0.13,0.153,0.015,0.044,0.006,0.051,0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.016,0.0,0.0,0.034,0.006,0.0,0.0,0.011,0.025,0.0,0.0,0.003,0.0,0.0,0.006,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.254,0.013,0.074,0.013,0.042,0.2,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.211,0.202,0.057,0.145,0.019,0.028,0.0,0.034,0.0,0.008,0.0,0.034,0.0,0.0,0.008,0.034,0.0,0.0,0.0,0.034,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.268,0.065,0.0,0.037,0.008,0.054,0.044,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.078,0.0,0.103,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.063,0.008,0.102,0.402,0.0,0.113,0.047,0.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.046,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.044,0.0,0.249,0.589,0.059,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.37,0.0,0.049,0.493,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
