function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.122,0.068,0.19,0.039,0.03,0.072,0.024,0.042,0.0,0.0,0.007,0.038,0.03,0.01,0.019,0.042,0.0,0.073,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.018,0.0,0.012,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.023,0.0
to,0.23,0.0,0.109,0.265,0.057,0.043,0.034,0.018,0.0,0.0,0.0,0.0,0.076,0.043,0.0,0.0,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.315,0.051,0.137,0.109,0.056,0.013,0.0,0.086,0.0,0.0,0.013,0.0,0.0,0.0,0.007,0.0,0.0,0.031,0.0,0.015,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0
a,0.115,0.029,0.146,0.062,0.15,0.098,0.07,0.031,0.0,0.0,0.063,0.0,0.0,0.075,0.004,0.0,0.0,0.0,0.013,0.0,0.016,0.0,0.0,0.067,0.016,0.0,0.013,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0
in,0.176,0.0,0.01,0.272,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.074,0.0,0.0,0.0,0.047,0.0,0.147,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.023,0.0
and,0.409,0.064,0.0,0.0,0.0,0.0,0.0,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.269,0.068,0.09,0.151,0.06,0.0,0.01,0.03,0.0,0.033,0.018,0.033,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0
for,0.182,0.187,0.041,0.234,0.023,0.0,0.0,0.021,0.0,0.0,0.078,0.0,0.0,0.009,0.0,0.0,0.026,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
as,0.511,0.383,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.242,0.024,0.0,0.121,0.155,0.0,0.0,0.077,0.0,0.0,0.0,0.015,0.0,0.008,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.155,0.0,0.087,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0
by,0.0,0.0,0.0,0.746,0.0,0.0,0.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
