function_words,the,to,of,a,in,and,on,for,that,as,with,by,at,from,its,it,an,will,more,which,after,this,up,would,than,or,but,who,about,could,over,they,some,while,other,into,one,against,since,can,out,if,before,down,according,including,when,such,during,all
the,0.073,0.101,0.212,0.019,0.109,0.134,0.058,0.014,0.0,0.0,0.0,0.011,0.011,0.028,0.0,0.046,0.027,0.026,0.019,0.014,0.008,0.0,0.0,0.003,0.0,0.0,0.0,0.022,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.005,0.0,0.0,0.0,0.0
to,0.331,0.065,0.041,0.028,0.04,0.08,0.029,0.011,0.101,0.005,0.0,0.005,0.0,0.027,0.005,0.082,0.043,0.009,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.016,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.039,0.0,0.008,0.011,0.0,0.0
of,0.245,0.123,0.006,0.128,0.053,0.011,0.137,0.045,0.069,0.0,0.0,0.0,0.0,0.005,0.029,0.012,0.011,0.051,0.0,0.0,0.0,0.0,0.016,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.16,0.062,0.099,0.039,0.079,0.053,0.22,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.355,0.02,0.038,0.133,0.051,0.041,0.096,0.0,0.0,0.029,0.0,0.029,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.073,0.009,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0
and,0.25,0.113,0.066,0.078,0.044,0.11,0.018,0.0,0.003,0.006,0.0,0.0,0.0,0.103,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.015,0.0,0.0,0.017,0.0,0.0
on,0.398,0.009,0.061,0.092,0.171,0.052,0.044,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.662,0.042,0.118,0.0,0.0,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.163,0.163,0.031,0.052,0.049,0.0,0.04,0.0,0.062,0.0,0.0,0.0,0.009,0.0,0.079,0.0,0.0,0.141,0.009,0.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
as,0.763,0.0,0.136,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
