function_words,the,to,in,of,and,a,on,that,for,as,from,with,by,at,or,more,an,its,this,it,up,who,after,which,they,could,would,other,one,according,some,but,when,over,since,about,down,than,while,them,will,many,into,may,can,no,before,like,most,what
the,0.163,0.093,0.039,0.157,0.042,0.057,0.038,0.019,0.026,0.0,0.023,0.015,0.011,0.017,0.0,0.0,0.036,0.011,0.01,0.003,0.015,0.039,0.005,0.026,0.0,0.0,0.001,0.015,0.007,0.01,0.013,0.01,0.005,0.0,0.0,0.013,0.01,0.002,0.0,0.011,0.0,0.002,0.016,0.01,0.013,0.0,0.013,0.002,0.0,0.002
to,0.326,0.059,0.021,0.123,0.06,0.113,0.037,0.025,0.018,0.004,0.05,0.037,0.004,0.0,0.0,0.0,0.002,0.004,0.0,0.0,0.0,0.01,0.0,0.01,0.004,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
in,0.349,0.04,0.005,0.045,0.014,0.162,0.047,0.019,0.079,0.026,0.014,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.011,0.026,0.026,0.0,0.0,0.046,0.011,0.019,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0
of,0.37,0.016,0.04,0.052,0.046,0.111,0.046,0.041,0.02,0.0,0.058,0.0,0.035,0.006,0.0,0.0,0.005,0.003,0.036,0.0,0.0,0.027,0.027,0.006,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.194,0.081,0.079,0.034,0.055,0.067,0.044,0.02,0.004,0.0,0.0,0.033,0.028,0.004,0.0,0.047,0.01,0.047,0.0,0.0,0.011,0.047,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.035,0.0,0.0,0.011,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.035,0.035,0.0,0.0,0.0
a,0.217,0.041,0.131,0.109,0.065,0.041,0.086,0.023,0.098,0.0,0.011,0.0,0.034,0.0,0.032,0.0,0.0,0.0,0.0,0.018,0.0,0.073,0.003,0.0,0.0,0.0,0.0,0.0,0.004,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.267,0.06,0.033,0.081,0.022,0.143,0.033,0.039,0.007,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.039,0.0,0.052
that,0.36,0.043,0.047,0.0,0.08,0.035,0.0,0.007,0.016,0.0,0.012,0.0,0.0,0.0,0.022,0.038,0.031,0.0,0.009,0.0,0.016,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.007,0.068,0.0,0.051,0.0,0.007,0.029,0.068,0.0,0.0,0.0,0.0,0.0
for,0.425,0.124,0.007,0.05,0.096,0.045,0.08,0.032,0.067,0.0,0.007,0.0,0.0,0.029,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.381,0.089,0.0,0.028,0.0,0.067,0.089,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,0.0
from,0.307,0.142,0.013,0.013,0.101,0.087,0.074,0.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.099,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0
with,0.417,0.022,0.012,0.198,0.092,0.016,0.016,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.43,0.017,0.0,0.083,0.234,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.039,0.0,0.0,0.07,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.76,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
more,0.153,0.0,0.0,0.0,0.0,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.187,0.16,0.0,0.038,0.095,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its,0.188,0.0,0.12,0.09,0.0,0.09,0.0,0.0,0.0,0.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0
this,0.345,0.0,0.379,0.194,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
