function_words,the,to,in,of,and,a,on,that,for,as,from,with,by,at,or,more,an,its,this,it,up,who,after,which,they,could,would,other,one,according,some,but,when,over,since,about,down,than,while,them,will,many,into,may,can,no,before,like,most,what
the,0.076,0.02,0.101,0.268,0.067,0.035,0.022,0.068,0.033,0.0,0.0,0.032,0.018,0.003,0.006,0.069,0.0,0.007,0.007,0.01,0.006,0.024,0.006,0.021,0.0,0.0,0.007,0.029,0.005,0.0,0.0,0.0,0.0,0.004,0.0,0.01,0.0,0.004,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.004,0.013,0.0,0.0
to,0.2,0.091,0.118,0.056,0.007,0.041,0.0,0.037,0.0,0.025,0.031,0.0,0.007,0.023,0.062,0.0,0.0,0.031,0.0,0.018,0.08,0.035,0.031,0.0,0.0,0.0,0.003,0.0,0.013,0.0,0.0,0.004,0.0,0.038,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.013,0.0,0.0,0.003,0.0,0.0,0.0
in,0.335,0.046,0.033,0.077,0.027,0.041,0.0,0.065,0.028,0.021,0.0,0.093,0.004,0.003,0.016,0.025,0.027,0.003,0.008,0.0,0.008,0.0,0.0,0.0,0.005,0.0,0.0,0.021,0.02,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.018,0.021,0.0,0.0,0.0
of,0.273,0.054,0.068,0.049,0.031,0.018,0.0,0.057,0.027,0.0,0.0,0.024,0.0,0.0,0.017,0.077,0.003,0.056,0.014,0.0,0.014,0.019,0.013,0.008,0.014,0.0,0.0,0.008,0.01,0.0,0.0,0.0,0.0,0.019,0.0,0.019,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008,0.025,0.019,0.0
and,0.067,0.006,0.078,0.044,0.02,0.022,0.0,0.059,0.028,0.0,0.025,0.118,0.019,0.0,0.036,0.033,0.019,0.0,0.019,0.038,0.033,0.0,0.0,0.044,0.0,0.0,0.033,0.078,0.059,0.0,0.0,0.044,0.0,0.058,0.0,0.0,0.0,0.006,0.011,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.045,0.094,0.007,0.159,0.03,0.052,0.0,0.052,0.077,0.0,0.053,0.03,0.0,0.04,0.0,0.141,0.0,0.022,0.013,0.007,0.013,0.009,0.0,0.0,0.013,0.0,0.0,0.009,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.028,0.0
on,0.084,0.152,0.011,0.155,0.02,0.188,0.0,0.086,0.011,0.027,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
that,0.146,0.015,0.026,0.208,0.037,0.032,0.0,0.008,0.007,0.01,0.0,0.044,0.0,0.018,0.032,0.04,0.052,0.018,0.025,0.004,0.006,0.0,0.004,0.0,0.0,0.033,0.064,0.006,0.025,0.0,0.008,0.003,0.0,0.006,0.0,0.003,0.0,0.018,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.025,0.0,0.033,0.0,0.0
for,0.182,0.058,0.052,0.137,0.076,0.0,0.018,0.0,0.0,0.018,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.182,0.0
as,0.069,0.012,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.122,0.231,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.0,0.0,0.0,0.0
