function_words,the,to,in,of,and,a,on,that,for,as,from,with,by,at,or,more,an,its,this,it,up,who,after,which,they,could,would,other,one,according,some,but,when,over,since,about,down,than,while,them,will,many,into,may,can,no,before,like,most,what
the,0.065,0.142,0.099,0.104,0.038,0.046,0.019,0.037,0.0,0.022,0.011,0.02,0.01,0.0,0.0,0.02,0.005,0.007,0.007,0.014,0.002,0.0,0.012,0.0,0.002,0.023,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.013,0.094,0.0,0.0,0.0,0.01,0.0,0.017,0.0,0.0,0.049,0.004,0.0,0.015,0.0,0.078,0.0
to,0.186,0.058,0.037,0.099,0.041,0.06,0.052,0.027,0.03,0.028,0.016,0.003,0.024,0.041,0.021,0.041,0.026,0.005,0.049,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.009,0.021,0.0,0.021,0.033,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.011,0.0,0.0,0.009,0.0,0.0,0.0
in,0.201,0.067,0.029,0.008,0.089,0.18,0.025,0.014,0.006,0.0,0.022,0.025,0.039,0.008,0.033,0.043,0.023,0.0,0.016,0.0,0.008,0.0,0.036,0.025,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.014,0.008,0.0,0.025,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.008,0.0
of,0.226,0.051,0.014,0.049,0.126,0.142,0.023,0.068,0.007,0.051,0.081,0.0,0.0,0.029,0.0,0.005,0.009,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.029,0.0,0.0,0.0,0.0,0.0
and,0.178,0.066,0.083,0.059,0.118,0.074,0.048,0.036,0.025,0.044,0.025,0.0,0.0,0.0,0.006,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.034,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.025,0.0,0.0,0.003,0.0,0.0,0.025,0.0,0.0,0.003,0.034,0.0,0.0
a,0.143,0.056,0.151,0.166,0.043,0.019,0.052,0.114,0.067,0.011,0.006,0.0,0.023,0.052,0.019,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.044,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
on,0.34,0.057,0.021,0.085,0.085,0.052,0.036,0.057,0.048,0.0,0.0,0.055,0.02,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.025,0.065
that,0.281,0.013,0.07,0.173,0.022,0.196,0.022,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.04,0.0,0.0,0.0,0.0,0.0
for,0.189,0.059,0.045,0.0,0.131,0.189,0.06,0.0,0.0,0.08,0.0,0.0,0.0,0.045,0.0,0.014,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.214,0.164,0.0,0.017,0.102,0.102,0.0,0.0,0.04,0.053,0.053,0.0,0.0,0.023,0.0,0.125,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
from,0.263,0.177,0.048,0.029,0.065,0.069,0.085,0.027,0.015,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036
with,0.23,0.042,0.119,0.09,0.0,0.135,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,0.0,0.0,0.0,0.057,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0
by,0.408,0.143,0.155,0.0,0.113,0.06,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0
at,0.31,0.021,0.106,0.09,0.05,0.169,0.0,0.038,0.0,0.0,0.157,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or,0.206,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
more,0.087,0.23,0.099,0.008,0.124,0.0,0.018,0.0,0.0,0.0,0.112,0.013,0.0,0.0,0.056,0.0,0.024,0.0,0.013,0.032,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
an,0.05,0.0,0.145,0.147,0.035,0.035,0.0,0.02,0.0,0.0,0.083,0.294,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.11,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its,0.0,0.238,0.0,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this,0.099,0.155,0.056,0.0,0.0,0.0,0.031,0.0,0.177,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it,0.411,0.0,0.0,0.125,0.0,0.0,0.297,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
