function_words,the,to,in,of,and,a,on,that,for,as,from,with,by,at,or,more,an,its,this,it,up,who,after,which,they,could,would,other,one,according,some,but,when,over,since,about,down,than,while,them,will,many,into,may,can,no,before,like,most,what
the,0.186,0.081,0.087,0.117,0.045,0.05,0.12,0.054,0.025,0.037,0.0,0.019,0.008,0.014,0.019,0.0,0.005,0.013,0.0,0.017,0.0,0.018,0.017,0.0,0.017,0.0,0.0,0.0,0.0,0.002,0.015,0.013,0.008,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
to,0.416,0.027,0.077,0.114,0.033,0.08,0.059,0.0,0.004,0.0,0.019,0.004,0.0,0.033,0.0,0.0,0.0,0.014,0.0,0.038,0.0,0.0,0.019,0.0,0.025,0.0,0.0,0.0,0.0,0.003,0.019,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011
in,0.437,0.066,0.034,0.075,0.043,0.152,0.017,0.065,0.0,0.005,0.0,0.015,0.006,0.0,0.0,0.0,0.027,0.0,0.0,0.02,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of,0.263,0.018,0.084,0.057,0.128,0.11,0.059,0.0,0.005,0.011,0.0,0.004,0.029,0.0,0.005,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.027,0.024,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048
and,0.135,0.075,0.012,0.046,0.009,0.101,0.069,0.039,0.012,0.0,0.029,0.029,0.061,0.0,0.051,0.0,0.064,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.029,0.0,0.0,0.0,0.0,0.005,0.005
a,0.195,0.042,0.134,0.039,0.14,0.12,0.055,0.026,0.0,0.0,0.0,0.03,0.009,0.03,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.045,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.421,0.061,0.06,0.037,0.037,0.099,0.006,0.06,0.019,0.0,0.0,0.011,0.003,0.015,0.045,0.0,0.005,0.0,0.0,0.019,0.0,0.003,0.019,0.0,0.019,0.0,0.0,0.0,0.0,0.015,0.008,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0
that,0.197,0.026,0.045,0.239,0.204,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.281,0.0,0.0,0.0,0.222,0.046,0.0,0.0,0.0,0.0,0.0,0.183,0.047,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.0,0.0,0.143,0.508,0.0,0.0,0.0,0.255,0.0,0.0,0.034,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
